,Unnamed: 0,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,search_term,year,File Name,Content,Subjectivity/Objectivity,topic
12,12,7179705238230732075,2022-12-21T15:43:25,29.0,US,"trumps taxes, Green Screen Videos, Shane Gillis Trump, Tax Man, Green Screen Video Effect, donald trump drinker, Fanum Tax Returns Agent, alix earle trump response",18600.0,831.0,3775.0,385000.0,Not surprised! #greenscreen #greenscreenvideo #fyp ,False,,harryjsisson,Harry,,,,,,True,Trump Tax Returns,2021,@harryjsisson_video_7179705238230732075.txt," Surprise surprise Donald Trump was a really bad businessman as he folks probably know Donald Trump's tax returns have been released to the public and man Just look at these numbers in 2015 and 2016 he lost over 30 million dollars and then in 2017 He lost 12.8 million dollars, but my question is how was he president of the United States and made 24 million dollars? That seems like something that should probably be looked into he also paid no tax, but we already knew that but yeah, I can't say I'm surprised",subjective,business dealings
13,13,7331213276577025322,2024-02-02T22:32:12,47.0,US,,276.0,18.0,255.0,50400.0,Replying to @Tina Connell580 #greenscreen #taxes #taxreturn #taxrefund ,False,,__ninzim,__ninzim,,,,,,False,Trump Tax Returns,2021,@__ninzim_video_7331213276577025322.txt," This is the last video on making my taxes, but no. I just filled out my W4 wrong and I'm going to show you why you're wrong. This is the 2018 tax brackets, okay? So say I'm making $250,000 a year. In 2018, after this 2017 tax law, I'm in the 24% tax bracket. And these are the 2023 tax brackets. Again, if I'm making $250,000 a year, I'm still in the 24% tax bracket. Nothing changed. It's not Trump, it's not Biden. I just filled out my W4 wrong. So, I'm an idiot. I went viral for being an idiot. And next time, I hope I go viral for being cool.",subjective,tax mist
14,14,7330267638679096619,2024-01-31T09:22:31,65.0,US,,2680.0,420.0,381.0,182700.0,Replying to @Travel Hon Trump’s 2017 Tax Bill Changed our Taxes!  #taxtok #taxes #election2024 #2024election #election #taxrefund #taxtips #fileyourtaxes #taxnews #taxtipsandtricks ,False,,ahadthecpa,Ahad the CPA | Tax Expert,,,,,,False,Trump Tax Returns,2021,@ahadthecpa_video_7330267638679096619.txt," The 2017 Trump tax bill is set to expire at the end of 2025. So we're going to see some tax reform coming our way. This is one of the reasons this election year is so critical because whichever president isn't power, they will determine if our taxes go up or down. And most likely if nobody takes any action, our taxes are going to go up. I'll tell you another thing, when Trump passed the tax bill in 2017, he permanently lowered the corporate tax rate to 21%. And he only temporarily lowered the individual tax rate like 2 or 3%. But hopefully when 2025 comes around and they're discussing some tax reform, hopefully we see some positive, simple tax reform and it permanently lowers tax rates for individuals or possibly increases the child tax credit amongst other things. I'll be posting more videos on the changes that are coming after the year 2025 when the TCGA Sunsets, meaning all those tax provisions from 2017 will go away. Well, not all, most of it will go away and there'll be some changes coming to the tax law.",subjective,tax reform
15,15,7329935034205490474,2024-01-30T11:52:30,110.0,US,,6791.0,639.0,680.0,67300.0,#greenscreen trump’s tax returns and lies. #trumpstaxereturns #IRS #taxes #democratsoftiktok #lockhimup #charleslittlejohn #progressivesontiktok #lawrencek #midterms_messaging #taxes ,False,,midterms_messaging,Lawrence K.,,,,,,False,Trump Tax Returns,2021,@midterms_messaging_video_7329935034205490474.txt," So this story is amazing and outlandish. So the guy that leaked Trump's tax returns that showed that Trump didn't pay any income tax for 10 of the 15 years before he became president was just sentenced to five years in prison. Meanwhile, Donald Trump, who was engaged in a dubious tax scheme in the 1990s including instances of outright fraud apparently cheated American taxpayers out of almost $500 million in tax revenue then. And between 2011 and 2021 we know that Trump and his organization knowingly and intentionally created more than 200 false and misleading valuations of assets on his annual statements and cheated banks and the IRS. And despite Trump's countless claims that he was under quote a routine tax on it we discovered that in the first two years of the Trump term the IRS somehow magically stopped investigating him. And the latest news reported just two days ago is that Trump knowingly and repeatedly lied on his federal financial disclosures about a major loan which apparently never existed and may have helped him evade taxes on $48 million in income. And despite all that Trump still runs free so I say the Republicans are right about one thing there are two tiers of justice in America one for Donald Trump and the other for everyone else I say lock him up.",subjective,tax evasion
16,16,7327375522655178014,2024-01-23T14:20:24,55.0,US,,36700.0,94.0,825.0,824400.0,#trump #trump2024 #donaldtrump #president #election #trump2024🇺🇸 ,False,,zawi.movies,zawi,,,,,,False,Trump Tax Returns,2021,@zawi.movies_video_7327375522655178014.txt," I will release my tax returns against my lawyer's wishes. When she releases her 33,000 emails that have been deleted. As soon as she releases them, I will release. I will release my tax returns. And that's against my lawyers, they say, don't do it. Well, I think you've just seen another example of bait and switch here. So you've got to ask yourself, why won't he release his tax returns? And I think there may be a couple of reasons. First, maybe he's not as rich as he says he is. Second, maybe he's not as charitable as he claims to be. Or maybe he doesn't want the American people, all of you watching tonight, to know that he's paid nothing in federal taxes. Because the only years that anybody's ever seen were a couple of years when he had to turn them over to state authorities when he was trying to get a casino license. And they showed he didn't pay any federal income tax.",subjective,tax returns
17,17,7180511110708170027,2022-12-23T19:50:34,15.0,US,,27200.0,1828.0,2325.0,251400.0,Are we really surprised? 😂😂😂 #leftist #liberal #lgbt🏳️‍🌈 #democrat #bluewave #politics #greenscreen ,False,,airosent,airosent,,,,,,False,Trump Tax Returns,2021,@airosent_video_7180511110708170027.txt," Former President Trump's tax returns don't show that he actually donated his salary as president, which he promised to do. Yeah, all that time that he said he was donating his salary, he didn't! B, it's almost as if he lies a lot or something.",subjective,tax returns
18,18,7183190233893096750,2022-12-31T01:07:00,115.0,US,,5775.0,256.0,1076.0,217000.0,A must watch. #politics #democrat #republican #fyp #trump #taxes #michaelcohen #msnbc #deadlinewhitehouse ,False,,karaaah,Kara,,,,,,False,Trump Tax Returns,2021,@karaaah_video_7183190233893096750.txt," It was not surprising, but it was shocking and galling. Donald Trump, the businessman turned American president, took pride, reveled in taking full advantage of the government for his own financial gain. That detail from Trump's former lawyer, Michael Cohen, was yet another in a series of revelations about Trump's tax paying habits that have come to light in recent years, including the mammoth piece of reporting, body of reporting by The New York Times, starting in 2020 that exposed Trump's chronic losses in years of tax avoidance. But today, an inflection point, a day that never seemed like it would come. After years of attempting to keep his tax returns private, Donald Trump's returns have been made public, six years of them, from 2015 to 2020, showing that he paid little taxes before and during his presidency, and that he reported no charitable contributions in 2020. The public release of these returns follows a years-long court battle, but the House Ways and Means Committee. Here's committee member Lloyd Dogget, a Democrat from Texas, on what in his view was uncovered. Here is the most powerful man in the world, the self-described clever genius who brags of his wealth almost daily. And he did not pay the taxes that the most modest wage earner in this country would pay. Everything in one year, $750 a year and others, all of this related to the claims for big losses, big deductions, big credits, taking advantage of every loophole. And because of the sorry job that Trump's Internal Revenue Service did, we don't know if how many of these were legal loopholes for the rich and how many of them were unjust and illegal because the IRS didn't do the job of auditing. And I think Americans should be greatly outraged.",subjective,tax evasion
19,19,7329306553809538350,2024-01-28T19:13:13,117.0,US,"trump tax bill 2017, trump tax increase 2024, child tax credit, Shane Gillis Trump, 100k salary tax refund 2024",22900.0,2475.0,1830.0,352300.0,i need y'all to educate yourselves amd stop whining! PAY ATTENTION! #taxes #taxes2024 #trumptaxplan #taxseason ,False,,mistyknight40,Sunshine-E🦋🌻,,,,,,False,Trump Tax Returns,2021,@mistyknight40_video_7329306553809538350.txt," TikTok can we have a conversation real quick? Can I tell you something? The amount of willfully ignorant people in this world is absolutely blowing my mind. I am seeing way too many TikToks, Instagram posts, TikTok, I mean, um, X, Twitter, Rids about people following their taxes right now and are literally losing their mind because A, they're getting back $2 or B, they're actually having to pay taxes this year. Did not of y'all actually pay attention in like government and economics when we were in high school? Like, do you not pay attention to what is actually happening with our government? All of this is because of the 2017 like tax laws that the Trump administration had changed. So in 2019, all of these taxes started going into effect in the middle and like lower middle upper middle middle class lower class like all of them have tax increases until 2025. If you make over a hundred thousand, it's going to continue until like 2027 like did y'all not pay attention? Because the amount of willfully ignorant people on here. Oh my god. What is happening? Like I found my taxes and I don't know. Is there something broke? The system? Should I wait? Like I see people talk pay attention. Damn it. This is who people voted for. These are the laws and things that he has put into place that people were not paying attention to. It's not buying. It's not the current administration. This happened in the previous administration. Like I need y'all to actually pay attention to what is happening around you and really learn how the government works, how economics works. Like I just want to dump everybody on a goddamn head and like I'm sick of it. I'm sick of seeing these tax. Stop talking about it.",subjective,tax education
20,20,7303763032574889259,2023-11-20T23:10:57,213.0,US,,7528.0,395.0,262.0,382400.0,#trump tax return will be released court ordered #fraud #taxreturn ,False,,importantnewsoftheday,News of the day!,,,,,,False,Trump Tax Returns,2021,@importantnewsoftheday_video_7303763032574889259.txt," As you could tell this evening part of what we accomplished was contentious. I would recommend that you all read the two reports that were produced by the Ways and Means Committee and the Joint Committee on Taxation. For all practical purposes, the research that was done as it relates to the mandatory audit program was non-existent. The tax forms were really never audited and only my sending a letter at one point prompted sort of a rearview mirror response. I emphasize again that the mandatory program has highlighted in what you will likely get in the next few minutes or so. It was almost non-existent. And my point is that that was the legislative purpose with which we won four federal court decisions in three courts. We argued for an examination of how the audit process played out. Once staff went to visit the IRS and once staff had a chance to go to some of the other locations that are within the jurisdiction of the IRS, they quickly concluded that in fact the audit did not occur. There were no audits in a timely manner. That goes I think for 2017, 2018 and 2019. As I noted, we made it through those substantial court decisions. It required patience. Let me say something because I think it appears a personal note. This was never about being punitive. It was never about being malicious. I never over promised. I never built an unreasonable level of expectation. And time it again, I refrained from the questions in the hallway that you posed to me because I was not about to upset a very sensitive court case. The other thing that happened much to your dislike was that there were no leaks that occurred from the committee. We kept this very much above board, went back and forth with the attorneys at the committee. And we were determined to put forward a case that would, as I noted early on when I was asked in the hallway right after my letter originally was sent, I was asked what do you expect? And I said a long and grueling court case. That was my quote three and a half years ago. That's what happened. Did we have enough time to conduct the review? Yes, we did. These were individuals on the tax staff who were seasoned professionals, tax lawyers and accountants. They proceeded as I knew they would with not only great professionalism, but also with great restraint. Not to overdo anything as they undertook their responsibilities. When Republicans argue, and I want to hear from the others here, when Republicans argue that there was no precedent. There is a letter from Richard Nixon on December 13th of 1973 to the chairman of the Ways and Means Committee, Wilbur Mills. And he asked Wilbur Mills to have the joint committee on taxation review as tax returns. It began that very day. This idea that this never happened before, well, 49 years ago, it did happen.",subjective,tax audit
21,21,7183073471004445994,2022-12-30T17:33:48,10.0,US,,511.0,122.0,501.0,128900.0,Bruh! WHAT?!?!?! #trumptaxreturns #trumptaxes ,False,,fm_network,FMnetwork,,,,,,False,Trump Tax Returns,2021,@fm_network_video_7183073471004445994.txt, It must be nice.,subjective,travel photography
22,22,7289258243078016298,2023-10-12T22:04:58,32.0,US,"Lawyer, attorney, lawyer vs attorney, donald trump drinker, Shane Gillis Trump",5845.0,117.0,814.0,229900.0,Trump lawyer Alina Habba speaks on leaked tax returns #trump #indictment #presidenttrump #trumpindictment #lawyer ,False,,veracity.news,Veracity News,,,,,,False,Trump Tax Returns,2021,@veracity.news_video_7289258243078016298.txt," There is no way some 37 year old individual got the president's tax returns out of evolved at the IRS. Somebody who worked for booze, Alan Hamilton, who obviously hired CIA agents, assets, including Edward Snowden, got the president's returns and released his alone and separate in a park from the thousands of other victims of this man right before an election. That is election interference. It is inappropriate and as Judge Reyes stutie said, we have no time for it in this country.",subjective,election
23,23,7179825891655273774,2022-12-21T23:31:31,57.0,US,,6288.0,51.0,405.0,66500.0,Change the tax laws if you don’t like it. #HolidayOREOke #fyp #republican #conservative #democrat #liberal #greenscreen #trump #taxes #business ,False,,bfrashine,вяαη∂ση,,,,,,False,Trump Tax Returns,2021,@bfrashine_video_7179825891655273774.txt," So Harry, aka typical Democrat, posted this video where he's basically criticizing Trump, calling him a terrible businessman. All because over the course of a five-year period, Trump took incredibly large losses. And over here, I'm sorry it's blocked, but it says federal income taxes paid, and these numbers range from zero? All the way up to hundreds of thousands of dollars. And the reason for this is because when you are an everyday investor or a billionaire like Trump, you take losses in order not to pay taxes. That's not illegal. That's just how taxes work. Even small businesses do it. This is not a new concept. You can investors as the main example, they will sell whatever they invest in, take a major loss in order to pay taxes that are so low that it doesn't hurt them or pay no taxes at all. For example, I know you can't see it, and I apologize, but in 2020 when Trump took a $4.7 million loss, he did not pay any federal income tax. There is nothing bad about that. There is absolutely nothing illegal about that. That's just how taxes work.",subjective,taxation
24,24,7179705238230732075,2022-12-21T15:43:25,29.0,US,"trumps taxes, Green Screen Videos, Shane Gillis Trump, Tax Man, Green Screen Video Effect, donald trump drinker, Fanum Tax Returns Agent, alix earle trump response",18600.0,831.0,3775.0,385000.0,Not surprised! #greenscreen #greenscreenvideo #fyp ,False,,harryjsisson,Harry,,,,,,True,Trump Tax Returns,2021,@harryjsisson_video_7179705238230732075.txt," Surprise surprise Donald Trump was a really bad businessman as he folks probably know Donald Trump's tax returns have been released to the public and man Just look at these numbers in 2015 and 2016 he lost over 30 million dollars and then in 2017 He lost 12.8 million dollars, but my question is how was he president of the United States and made 24 million dollars? That seems like something that should probably be looked into he also paid no tax, but we already knew that but yeah, I can't say I'm surprised",subjective,business dealings
25,25,7331213276577025322,2024-02-02T22:32:12,47.0,US,,276.0,18.0,255.0,50400.0,Replying to @Tina Connell580 #greenscreen #taxes #taxreturn #taxrefund ,False,,__ninzim,__ninzim,,,,,,False,Trump Tax Returns,2021,@__ninzim_video_7331213276577025322.txt," This is the last video on making my taxes, but no. I just filled out my W4 wrong and I'm going to show you why you're wrong. This is the 2018 tax brackets, okay? So say I'm making $250,000 a year. In 2018, after this 2017 tax law, I'm in the 24% tax bracket. And these are the 2023 tax brackets. Again, if I'm making $250,000 a year, I'm still in the 24% tax bracket. Nothing changed. It's not Trump, it's not Biden. I just filled out my W4 wrong. So, I'm an idiot. I went viral for being an idiot. And next time, I hope I go viral for being cool.",subjective,tax mist
26,26,7330267638679096619,2024-01-31T09:22:31,65.0,US,,2680.0,420.0,381.0,182700.0,Replying to @Travel Hon Trump’s 2017 Tax Bill Changed our Taxes!  #taxtok #taxes #election2024 #2024election #election #taxrefund #taxtips #fileyourtaxes #taxnews #taxtipsandtricks ,False,,ahadthecpa,Ahad the CPA | Tax Expert,,,,,,False,Trump Tax Returns,2021,@ahadthecpa_video_7330267638679096619.txt," The 2017 Trump tax bill is set to expire at the end of 2025. So we're going to see some tax reform coming our way. This is one of the reasons this election year is so critical because whichever president isn't power, they will determine if our taxes go up or down. And most likely if nobody takes any action, our taxes are going to go up. I'll tell you another thing, when Trump passed the tax bill in 2017, he permanently lowered the corporate tax rate to 21%. And he only temporarily lowered the individual tax rate like 2 or 3%. But hopefully when 2025 comes around and they're discussing some tax reform, hopefully we see some positive, simple tax reform and it permanently lowers tax rates for individuals or possibly increases the child tax credit amongst other things. I'll be posting more videos on the changes that are coming after the year 2025 when the TCGA Sunsets, meaning all those tax provisions from 2017 will go away. Well, not all, most of it will go away and there'll be some changes coming to the tax law.",subjective,tax reform
