,File Name,Content,Subjectivity/Objectivity
17,@ifyoudontknowcomeknow_video_7243107680712215851.txt," So when we studied nuclear weapons in the Air Force, when we went to war college about how to apply and deploy them in combat, the first way that we would use a nuclear weapon is as an EMP. So you would send it, you'd launch it, the whole world would see it coming, right? But then you would actually detonate at altitude. And you would detonate at altitude so that it would send a very large, wide spread, conical EMP that would short the fuses and communication devices of everything within its reach. Right? So two miles off the ground, you might be able to neutralize 15 square miles of landmass, right? Four miles off the ground, you could neutralize 50 miles of landmass. So are these accurate numbers? They're rough numbers. There's an exponential benefit to how far you could neutralize based on the altitude above ground. Right?",subjective
18,@travelgrams_video_6806397953918438662.txt,,
19,@ashley_mf_d_video_7202937786083642667.txt, Нам в стратегической поражении хотят нанести и лезут на нашу ядерную объекту.,subjective
20,@lordtin4_video_7303921094140939551.txt," Да, действительно мы видим, что на всех конкурсах там в западных странах, для того чтобы что-то выиграть, нужно либо рассказать, написать, либо показать из жизни сексуальных менедшинств, трансгендеров, трансформаторов, много всяких названий. И они тоже эти темы, эти люди имеют право на то, чтобы выигрывать, показывать, рассказывать. Потому что это тоже часть общества. Это тоже то, чем живут люди. Плохо если только они выигрываются в их конкурс. Вот это ни к чему.",subjective
21,@muslim_helper_video_7357528548896427310.txt, וואו! פרצ mates! כזה לא שעושה וככ Windows אני שהח起來 Ramen ב�nosis המזר contin dividends,subjective
22,@actualidadrt_video_7308796265784020230.txt," El gigante energético ruso, Gazprom, realiza el primer envío de gas natural licuado por la ruta marítima del norte. ¿Cómo esto cambiaría la logística global? La noticia referida a la entrega del cargamento refleja la importancia estratégica de esta vida. La más corta para el transporte de cargas entre Asia y Europa, que podría reorganizar toda la logística global por su potencial como trayecto alternativo de navegación. Según las estimaciones cruzán la ruta marítima del norte a una velocidad media de entre 5 y 13 nudos, sin paradas toma entre 7 y 15 días, casi la mitad del tiempo que se tarda por el canal de Suez. Esto a Suez permite un ahorro de combustible y una reducción de los costos de flete. Uno de los desafíos que se presenta son las capas de hielo polar, que en los últimos años han ido desminuyendo por los efectos del cambio climático y el calentamiento global. Sin embargo Rusia posee una fluta de rompellielos, considerada como la más grande y potente del mundo. Además de tener rompellielos convencionales también cuenta con buques a proporción nuclear. Los planes de Rusia para impulsar el comercio a través de esta vía marítima no deben percibirse como una respuesta a las sanciones de Occidente. Porque se trata de una ruta global. Según el ministro ruso para el desarrollo del lejan oriente y el artico al XVI-Chicun-Kof.",subjective
23,@arm47x0_video_7295055371725442337.txt, '',subjective
24,@elmina_tv_video_7214772724374179078.txt, The first statue of Liberty in USA was an African-American called Lady Liberty. This statue was made in 1848. She was from Gold Coast.,subjective
25,@thetruthofthelie_video_7221125417904786693.txt," CNN does not want you to see this video and that's why they've hidden it on their website. But thanks to the internet, we're going to show it to you now. This is CNN covering Deneck, the Donbass being attacked by Ukraine. Watch. Petro Poroshenko will have a hard time winning back hearts and minds in this city as the people of Donetsk sweep up the debris of their homes and livelihoods. They are hardened against the President they say is killing his own people. We are Ukrainian, but they kill us, this man says. So we probably need our own country, but people in Kiev, they are not brothers for us. The shells hit these homes days ago, but the tears are still fresh. On the ground, it was so hard for two weeks, especially for 27, 28, 29, but only today it's a quiet. Is it an interoper? Sorry for any to go. Two people were killed outside this block of flats last Wednesday. One of them was a 50-year-old woman, the other a 34-year-old woman. Her husband, who won't talk to us, he says he's in shock, managed to make it down to the seller with their little child, but she just didn't have the time. And this is a story that repeats itself over and over in dozens of apartment blocks with civilians being killed by the constant",subjective
26,@my.alter.e.hoe_video_7115407039181884715.txt, You can report what you asked to me in IT nations.,subjective
27,@sensational.tech_video_7173334133328989445.txt," In this video we will talk about one of the most powerful mobile rocket systems in the world. Yes, we will talk about the M142 high mobility artillery rocket system or high Mars. Welcome to the Sensational Tech Channel. The M142 high mobility artillery rocket system or high Mars is an autonomous vehicle that carries missiles. The M142 high Mars is a second generation missile defense weapon. The high Mars is an Army artillery rocket system capable of firing rockets and missiles up to 40 miles.",subjective
28,@berkxy5_video_7113160688654208261.txt, Music,subjective
29,@jackthevoyager_video_6915695638504099078.txt,РИ,subjective
30,@margo_vich_video_7186725851365428523.txt," Belarusian things that could send Americans into coma. You know how in America will like smile at each other ask your Cushior. Oh, hey, how are you? How's your day going? They're like good. How are you? And you're like good? Yeah, that's not happening. If you try to pull that in Belarus, they're gonna think you're crazy. Don't smile Don't say a word. You're here for business get to the fucking point and leave get out the second thing is there are grocery stores inside of like big malls And I'm not talking about like on the same plaza. No, they're in the same building like you'll be shopping at Zara and then across the hall You see like a gigantic grocery store and like it just people with cards going around I know this was not super crazy, but I just noticed like I've never seen that in America I don't know. All right. This next one's gonna make you mad. It's actually Completely normal to get your waiter's attention by snapping your fingers and saying something like hey woman Or hey man like it's completely normal if you want to clap if you want to wave if you want to do a little dance You can do all that to get their attention. They don't care or maybe they do I don't know I've never asked them and people still do it",subjective
31,@cbsmornings_video_7347691916277845278.txt," President Vladimir Putin declaring he's been reelected for a fifth term after only token opposition and token is a word there. The official election results given more than 87 percent of the vote. Now, that sets him up to be the longest serving Russian leader in more than 200 years. There were small acts of protest during the contest held just a month after Putin's biggest predict that the election of all eight died in prison. Vladimir Putin used his victory speech to warn the U.S. and the West that he is going to win the war in Ukraine. No matter who wants to intimidate us or suppress us, he said they have never succeeded, and they will not succeed ever. During the election run-up inside Russia, all opposition was ruthlessly suppressed. Outside though, there was plenty. At Russian embassies across Europe and in Washington, Russian exiles lined up to vote and to protest. Many had supported the late opposition leader Alexei Navalny, who died mysteriously in a Russian prison last month. In Moscow, Putin spoke about Navalny directly for the first time. About his death, Putin said, it's very sad. But these things happen.",subjective
32,@newsweek_video_7076504717534203178.txt," As sanctions we will survive, the measures which the President and the government are developing, elaborating and they are being announced, this is only the beginning of our economy to adjusting, to get adjusted to the new situation. After 2014, as I started to say, we did gain experience to rely upon ourselves. The biggest lesson from this particular historic period is unlike what we saw after 2014, that now if there was any illusion that we can one day rely on our Western partners, this illusion is no longer there. We will have to rely only on ourselves and on our allies who would stay with us.",subjective
33,@banditgio171_video_7201980397591301382.txt," The dominance which they enjoyed in the world for at least five centuries is fading away Multi-poly world is a nerve-jink powers like China India Turkey Egypt Africa As as a huge a rich Continent and many people say that this is the future of the of the world Latin America of course Brazil, Argentina, Mexico Those powerhouses Of their respective regions and to a large extent for the world economy as China and India are You cannot ignore them and you cannot dictate to them that they should develop The way which will Continue to enrich the West",subjective
34,@mankovic_11_video_7244952160025201925.txt, Shook on the phone Ils would knockут Public,subjective
35,@russkommander_video_7296140478712417579.txt," Мы съесть контракт. Контракт с компанией. Контракт с родиной. Совестю. И мы будем исполнять его до конца. Живыми или мертвыми. Мы знаем, что попадем в ад. Но в аддуме будем лучше. Лучшее в аддум. Редактор субтитров А.Семкин Корректор А.Егорова",subjective
36,@vadskas_video_7320656404098845984.txt, Редактор субтитров А.Семкин Корректор А.Егорова Корректор А.Егорова,subjective
37,@thehistorylegends_video_7106933407300488453.txt," However, this 20 km by 20 km square represents Ukraine's last rip on the separatist region of Luansk. If the Russians finalize the capture of all of Luansk, it will be an important political victory for Putin. That could even galvanize his troops. All this situation can be explained by President Elensky himself. He said that if he retreats to better positions, then it will be very costly in terms of losses to regain that ground. And this emitted five times more losses. But it also means that the Russians are in full control of the situation.",subjective
38,@cbsmornings_video_7218199152331705643.txt," Today, the North Atlantic Treaty Organization, or NATO, will add its 31st Member State, Finland. And here's why that's important for all of us. As we know, NATO is a defensive alliance that protects the US, Canada and Europe. An attack on one country is considered an attack on all. In the lead up to Vladimir Putin's invasion of Ukraine, he complained about NATO expansion in Europe as more and more countries sought membership. But ironically, Putin's now got more of exactly what he didn't want. Before Putin's invasion of Ukraine, about a quarter of Fin's supported NATO membership. After Putin launched his war, that surged to almost 80 percent. And Finland has its own history with Moscow. It was invaded by the Soviet Union back in 1939. The bottom line is that NATO has now expanded even further. Russia will now share a border with a NATO member more than 800 miles long. While next door, Sweden is also seeking to join the alliance. Putin's invasion has had many unintended repercussions, and one of them is strengthening NATO cooperation. Russia says if forces from other NATO states are deployed to Finland, it'll respond by bolstering its own defenses.",subjective
39,@abcnews_video_7323345585212280107.txt, 🎵 All right. einzigeBr changeCK LEAVE pes,subjective
40,@heyy_yuliya_video_7040544200655654190.txt," He's got the crazy curvy waistbeat, jodies fill YEAH Crazy curvy waistbeat, water He's got the big tits, you Don't people wait Monty, arty, arty, arty, arty, arty, arty, arty, arty CONTINUE",subjective
41,@.d3lta__video_7187570550838005034.txt, If you love SMITZ,subjective
42,@discountlots.com_video_7210934306825555246.txt, US State with the most nuclear weapons. Location with the most nuclear weapons by far is the large Kirkland underground munitions and maintenance storage complex in New Mexico. Most of these weapons are retired and awaiting this mantle. 2nd largest inventory state is Washington State. With the naval submarine base stockpiled nuclear war weapons.,subjective
43,@usairforce115_video_7325021341080407339.txt," It's the same old dream, say it's 1960, A.R.H. Lee your head, they still fight hand, With their tanks and their bombs and their bombs and their guns Lee your head, they still fight hand, Watch your head Lee your head, they still fight hand, Watch your head Lee your head, they still fight hand, Watch your head Lee your head, they still fight hand, Watch your head It's the same old dream, say it's 1960, A.R.H. Lee your head, they still fight hand, With their tanks and their bombs and their guns",subjective
44,@easteuropa_video_7192260233723514158.txt, 🎵,subjective
45,@militarymechanicsie_video_7318058890514402591.txt," Many pieces of military hardware from the Cold War era that were thought to be obsolete were given a chance to prove themselves and find a new field of use during the Ukrainian Russian conflict. While some of these weapons get their first, albeit delayed, taste of battle, for others its business as usual to operate in the face of hostile fire. The Stinger manpad, a veteran of the Soviet Afghan War, was deployed again almost a year ago to fight the Russians. And since then, the Russians have learned to fear and respect this weapon system so much that they sent one of the captured Stinger missiles to Iran through a verse engineering. This is Military Mechanics and in this episode we will talk about the FIM-92 Stinger. This video is brought to you by Duovox Ultra, a military-grade night vision monocular with full-color starlight technology. It delivers sharp, full-color real-time night vision with as little as 0.001 lumens of visible light. If it's built-in high-capacity IR illuminator, you can even see through complete darkness. Its impressive 5x optical and 10x digital zoom paired with manual focus mode lets you get up close to observing objects. Click on the link in the description to buy the Duovox Ultra and ensure crystal clear night vision. The Stinger missile, formerly known as the FIM-92, was developed by the United States as a shoulder-fired surface-to-air missile system. The Stinger's primary purpose is to provide infantry units with a highly portable and effective means to engage and destroy enemy aircraft. As a result, it has played a significant role in the evolution of modern warfare, enabling smaller forces to challenge the air superiority of their adversaries. The development of the Stinger missile began in the late 1960s, prompted by the need for a more advanced and effective portable surface-to-air missile system. The US Army awarded the contract for the design and production of the Stinger to General Dynamics in 1972. To receive the test, the missile-ended service in 1981, replacing the less effective red-eye missile system. The Stinger missile system has undergone multiple upgrades and improvements since its introduction in 1981. It consists of three primary components, the missile itself, the launch tube, and the identification friend or foe, IFF, interrogator. The missile has a length of 1.52 meters, a diameter of 2.8 inches, and fins measuring 3.9 inches. The weight of the missile itself is approximately 22 pounds, while the total weight of the missile, including its launch tube, integral sight, grip stock, and identification friend or foe, IFF, antenna, is approximately 34 pounds. It can engage low altitude enemy threats up to 2.36 miles away and has a targeting range of up to 2.98 miles. The Stinger is propelled away from the operator by a small ejection motor before the main two-stage solid fuel sustainer is engaged. This causes the Stinger to accelerate to a maximum speed of Mach 2.54. The missile's high explosive annular blast fragmentation, or HEA-BF, Warhead, is designed to maximize damage to aircraft by targeting the most vulnerable components, such as engines, fuel tanks, and control surfaces. The Warhead has 2.25 pounds of HTA-3 explosive, which is a mixture of HMX, TNT, and aluminum powder. Additionally, the Warhead has an impact fuse and a self-destruct timer that goes off 17 seconds after launch. Also, the Stinger missile features a proximity fuse that detonates the Warhead when it comes with an predetermined distance of the targets. This increases the likelihood of damaging or destroying the target, even if the missile does not score a direct hit. The FIM-92J's proximity fuse has been upgraded for greater reliability and effectiveness. Stinger is guided by an infrared passive system. The Seeker has the ability to focus on moving as well as stationary targets. There have been upgrades to both the Seeker and the computer. The FIM-92B and later models use a Seeker that detects both infrared and ultraviolet lights. The FIM-92K makes use of a data link to enable a remote sensor to acquire a target outside of the Stinger's sensors acquisition range. Using the data link, the missile is able to make mid-air adjustments to its course and successfully acquire the target. One of the key advantages of the Stinger missile is its user use. The entire system weighs approximately 35 pounds, making it highly portable and suitable for infantry use. The launch process is straightforward and requires minimal training further enhancing its usability. Additionally, the IFF interrogation helps prevent friendly fire incidents by ensuring that the missile only engages enemy aircraft. Throughout the Stinger's deployments, there have been multiple barriers within pre-hills in ranged guidance and reality. Some of these include the FIM-92A basic Stinger. FIM-92B Stinger post, FIM-92C Stinger RMP, FIM-92D Stinger block 1, and the FIM-92J, which features an improved Seeker that allows for better target acquisition in adverse weather conditions and increased resistance to countermeasures. A single Stinger missile costs around 134,488 dollars. Adjusted to 25.",subjective
46,@robert.blake23_video_7241208129910820142.txt," A United State and the Soviet Union signed Mr. Tricic Amz Reduction Treaty, started in Moscow.",objective
47,@febryhartono.dsgn_video_7243683787115187461.txt, Sun comes up and he goes back down We search for love and it's love we found We live our life now we come this far We want to stop now this is all we are we Yes all ye,subjective
48,@olenas83_video_7358901978015091973.txt, Простите мне в мою заняцу И с ножи всех моих с ногом Устите в хральках в тишу И город вылезет из холмами Расправит крылья в город ловить И завоюка ветка в тишине Скажите мне зачем война И для чего нужны границы,subjective
49,@robert.blake23_video_7241194358668660010.txt," A United State and the Soviet Union signed Mr. Tricic Amz Reduction Treaty, started in Moscow.",objective
50,@cnn_video_7317298967451307310.txt," The Ukrainian military claims it destroyed a Russian navy landingship in Crimea in an overnight strike Tuesday. CNN has not been able to independently verify that it was destroyed. President Vladimir Zelensky praised his forces for the strike and the Ukrainian Air Force also held it as a significant win. While the Russian Defense Ministry doesn't say the ship was destroyed, but does admit it was damaged in the Ukrainian attack, a Russian appointed official in Crimea says one person was killed and two others injured in that strike. If the ship was indeed destroyed, this would be the third major military hardware loss for Russia in less than a week. You can see from the explosion that it was loaded with ammunition. A lot of those are secondary explosions. I mean, that's quite significant. Russia still has the law of large numbers. They can continue to bring capacity to the fight where the Ukrainians have limited capacity to do that. And that's where we are right now.",subjective
51,@skyabrsta_video_7299291577619336478.txt, رجع مراده رجوش السلام عليكم عليكم السلام عليكم السلام,subjective
52,@williamdechina_video_7208605435065126186.txt," Acompáñame a recorrer el mercado mayorita más grande de China, Ibu International Trade Market, está dividido en cinco distritos. En el primer distrito están los juguetes, visuterías y artes para decoración. En ese uno están los bolsos, maretas, herramientas, para aguas, electromextico, luces, baterías, soles para cámaras, bicicletas, reloges y emplesa de comercio exterior. En tercer distrito están rotos de oficina, rotos deportivos, aquillajes, accesorio para ropa y cuadros. En el cuarto distrito están las percancias general, guante, borra, zapato, cinturones y ropa interior. En el quinto están los rotos importados, rotos de cama, rotos de boda, rotos para mascota, textiles y accesorio para coches. Déjame saber en el comentario, el producto que vale ha interesado.",subjective
53,@jessybay_video_7045725283659418885.txt," И доволиться в обеде, В этот дом пойду мить наосьмой стат. Позвольны сладо, Позвольны, Вы тут видишь, И теперь никто не откроет беги другом. И теперь никто не откроет беги другом.",subjective
54,@buzplay56_video_7151468036908731649.txt," That? I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one, I'm not a single one",subjective
55,@stacy.creator_video_7298073744650587400.txt," They asked me to prove that Metro in Russia is the most beautiful and unique in the world. And here I am in the Metro of St. Petersburg. First thing first, to say that it's beautiful is to say nothing because it's stunning. All stations are exceptional made in their style. And it's literally like walking in a museum. Since most of the stations we're building in the USSR, there are only positive vibes and messages such as, peace in the world, and of course the symbol of Lenin. Metro workers have this excellent uniform and I think that it's a great idea. Specifically, the matter of St. Petersburg is almost the deepest in the world and it takes you over 3 minutes to pass the escalator. In addition, the Metro is spotless, illuminated, but also works as a Swiss clock, meaning no delays, no train consolations, and new train coming every 2 minutes. Did I provide enough evidence or do you need more? I personally think that Metro in Russia deserves to have a special tour.",subjective
56,@suizyi_video_7300636956768177440.txt,さあ 私は何を笑いた?愛は何を笑いた?私は何を笑いた?あなたは何を笑いた?その日々と,subjective
57,@illiminalspace_video_7192673289901214981.txt, message.,subjective
58,@beloved_kharkov_video_7358766241214926085.txt," Покурый, время так у я подумаю, мои посыды Можешь спитить раз, свет лиц издает закат И понюхать утра, блять, утро есть аромат И сука серьезно, не одновлять подла На испорт это тебе настроение, уравлять И в голову проскаку я мысль, сама первая сука Как же домах уемна",subjective
59,@animahbqmo4_video_7230358409156087066.txt, un video más amigante para perder el tiempo empecemos y que quiera perder su tiempo que lo pierda,subjective
60,@redhannya.ops_video_7197920883837504795.txt, this is something thank you system how yours world,subjective
61,@itvnews_video_7248280865845906715.txt," What is the Wagner group and what's going on right now in Russia? The Wagner group is a mercenary force, basically a private army who've been around for some time. They were loyal to the Russian state until now. Its leader, this bloke, used to be close to Putin but not anymore. The group have been helping Russia fight in Ukraine, but now they've brought the fight right to Vladimir Putin. They've claimed a key Russian military headquarters and are moving closer to Moscow. The Russian president appeared on TV to call out the group from Newtiny. While it's unclear what might happen, some experts reckon the group could eventually overthrow Putin. No one really knows what it might mean for us in the UK and elsewhere, but the world's watching as things in Russia really ramp up.",subjective
62,@torryhermann_video_6953966472544718086.txt," Ваши Уiegitive. Привет. Окей, уGLISH в captioning. Достав sequel из чая и тот не responsile. Неarenth Store не ра companies. Нем vegetables, неscream не Hardy, не dime.anger, не шке נgate жмуко тыesserн. Ги за тебе Т connections Я secondo달� Toyota Rylавчор Поехали, вы хотите мне кормить в госпиталь, чтобы северить в зома с миссией? Ты, кто вы снял? Tell me my American brother, if you have to cut your arm off, are you going to take a little knife and cut it little by little every day until your arm says, fuck it, I'm doing better to belong to this body and take off? That is how I feel about people drinking that garbage to get drunk. Ah, vodka!",subjective
63,@itsthegrumpsagain_video_7300443250991631659.txt, Редактор субтитров А. Синецкая Корректор А. Кулакова,subjective
64,@gs587712asp_video_7185603843542043909.txt, А вот так и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и и,
65,@dodge_diaries_backup_video_7357931665773186350.txt," As we inform in our little last night in response to the Israeli regime recurring military aggression, particularly its armed attack on 1st April 2024 against Iranian diplomatic premises, a defense of the second of the charter of the United Nations, the armed forces of the Islamic Republic of Iran carried out a series of military strike on Israeli military objectives with thousands of missile and drones. Iran's operation was entirely in the exercise of Iran's inherent right to self-defense as outlined in Article 51 of the charter of the United Nations and be cognized by international law. This concluded action was necessary and proportionate. It was precise and only targeted military objectives and carried out carefully to minimize the potential for escalation and prevent civilian harm. Madam President, we thank those members of the Council who condemned the Israeli armed attack against our diplomatic premises in Syria. The Great Template in this chamber, a certain member of the Council, including the US, UK and France, has chosen once again to turn a blind eye to reality and overlook the root causes contributing to the current situation. In hypocritical behavior, these three countries falsely blamed and accused Iran without considering their own failures to uphold the international commitment to peace and security in the region. They made unsurcessful attempts to use lies, manipulate, generate, spread this information and engage in a destructive blame game. All the while, they deliberately disregarded Iran's inherent right to respond to the violation of a fundamental principle of international law, the inviolability of diplomatic representative and premises. Moreover, they ignored the underlying root causes of the current situation in the region. For our six months now, these countries, especially the United States, have shielded Israeli from any responsibility for the gas they massacre. While they have denied Iran's inherent right to self-defense against the Israeli armed attack on our diplomatic premises, at the same time, they shamefully justified the Israeli massacre and genocide against the defense force Palestinian people on the deputakes of self-defense. They made cynical attempt to justify and cover up the atrocities of the Israeli regime against the people of Palestine by arbitrary and misleading interpretation of self-defense. Madame President, following the Israeli regime, covertly terrorist and armed attack against our diplomatic premises in Damascus, the Syrian Arab Republic. In the first of April, we notified the UN Security Council and Secretary General of such international, wrongful act, as well as of Iran's inherent right on the international law to respond to such terrorist armed attack.",
